name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
James Moors,/cbb/players/james-moors-1.html,Colorado State,0.7,.000,.583,31,12.4,3.0,4.0,2.5
Isaiah Rivera,/cbb/players/isaiah-rivera-1.html,Colorado State,0.5,.444,.667,31,12.2,2.0,3.4,1.5
Jalen Lake,/cbb/players/jalen-lake-1.html,Colorado State,0.5,.306,.778,31,13.9,1.0,3.6,1.1
Hunter Dickinson,/cbb/players/hunter-dickinson-1.html,Michigan,2.3,.328,.802,32,32.3,2.0,18.6,8.6
Eli Brooks,/cbb/players/eli-brooks-1.html,Michigan,2.9,.394,.877,34,36.0,5.0,12.8,3.7
DeVante Jones,/cbb/players/devante-jones-2.html,Michigan,4.6,.342,.792,33,28.8,4.0,10.3,4.5
Moussa Diabate,/cbb/players/moussa-diabate-1.html,Michigan,0.8,.214,.619,32,24.9,1.0,9.0,6.0
Caleb Houstan,/cbb/players/caleb-houstan-1.html,Michigan,1.4,.355,.783,34,32.0,1.0,10.1,4.0
Terrance Williams,/cbb/players/terrance-williamsii-1.html,Michigan,0.5,.385,.788,31,15.1,2.0,4.7,2.4
Kobe Bufkin,/cbb/players/kobe-bufkin-1.html,Michigan,0.3,.222,.773,28,10.6,1.0,3.0,1.1
Brandon Johns Jr,/cbb/players/brandon-johnsjr-1.html,Michigan,0.4,.294,.714,31,13.3,4.0,3.2,2.0
Frankie Collins,/cbb/players/frankie-collins-1.html,Michigan,1.4,.167,.441,31,11.0,1.0,2.8,1.7
Santiago Vescovi,/cbb/players/santiago-vescovi-1.html,Tennessee,3.2,.403,.793,35,31.2,3.0,13.3,4.4
Kennedy Chandler,/cbb/players/kennedy-chandler-1.html,Tennessee,4.7,.383,.606,34,30.8,1.0,13.9,3.2
Josiah-Jordan James,/cbb/players/josiah-jordan-james-1.html,Tennessee,1.7,.324,.800,32,29.0,3.0,10.3,6.0
John Fulkerson,/cbb/players/john-fulkerson-1.html,Tennessee,1.4,,.738,33,21.8,6.0,7.5,4.7
Zakai Zeigler,/cbb/players/zakai-zeigler-1.html,Tennessee,2.7,.352,.843,35,22.1,1.0,8.8,1.9
Uros Plavsic,/cbb/players/uros-plavsic-1.html,Tennessee,0.5,.000,.556,35,14.1,3.0,4.2,4.0
Justin Powell,/cbb/players/justin-powell-1.html,Tennessee,0.7,.381,.733,30,14.1,2.0,3.7,1.5
Brandon Huntley-Hatfield,/cbb/players/brandon-huntley-hatfield-1.html,Tennessee,0.3,.154,.593,35,12.5,1.0,3.9,2.9
Victor Bailey,/cbb/players/victor-baileyjr-1.html,Tennessee,0.5,.218,.563,34,9.6,5.0,2.6,0.9
Jahmai Mashack,/cbb/players/jahmai-mashack-1.html,Tennessee,0.3,.333,.444,27,4.6,1.0,0.7,0.7
Isaiah Wilkins,/cbb/players/isaiah-wilkins-2.html,Longwood,2.0,.394,.814,33,26.3,4.0,12.7,6.2
Justin Hill,/cbb/players/justin-hill-1.html,Longwood,4.1,.343,.797,31,30.9,2.0,14.2,4.8
Deshaun Wade,/cbb/players/deshaun-wade-1.html,Longwood,1.0,.446,.767,33,28.3,4.0,11.8,2.9
Zac Watson,/cbb/players/zac-watson-1.html,Longwood,0.8,,.807,33,20.0,4.0,7.7,3.7
Leslie Nkereuwem,/cbb/players/leslie-nkereuwem-1.html,Longwood,0.4,.000,.619,30,18.9,3.0,8.7,4.3
Jordan Perkins,/cbb/players/jordan-perkins-1.html,Longwood,2.7,.308,.708,33,21.5,5.0,4.9,2.3
Nate Lliteras,/cbb/players/nate-lliteras-1.html,Longwood,0.4,.379,.778,31,14.0,3.0,6.0,3.1
Jesper Granlund,/cbb/players/jesper-granlund-1.html,Longwood,1.0,.387,.621,33,20.5,2.0,4.1,2.3
D'Avian Houston,/cbb/players/davian-houston-1.html,Longwood,1.8,.333,.607,26,19.6,2.0,5.7,2.8
E.J. Liddell,/cbb/players/ej-liddell-1.html,Ohio State,2.5,.374,.765,32,33.2,3.0,19.4,7.9
Malaki Branham,/cbb/players/malaki-branham-1.html,Ohio State,2.0,.416,.833,32,29.6,1.0,13.7,3.6
Jamari Wheeler,/cbb/players/jamari-wheeler-1.html,Ohio State,2.9,.388,.861,31,29.5,5.0,7.1,3.2
Kyle Young,/cbb/players/kyle-young-3.html,Ohio State,1.2,.294,.788,27,22.7,5.0,8.2,5.0
Zed Key,/cbb/players/zed-key-1.html,Ohio State,0.5,,.581,29,19.8,2.0,7.8,5.6
Justin Ahrens,/cbb/players/justin-ahrens-1.html,Ohio State,0.8,.354,.750,32,20.1,4.0,4.8,2.3
Eugene Brown,/cbb/players/eugene-browniii-1.html,Ohio State,0.5,.229,.609,26,17.0,2.0,3.5,2.4
Joey Brunk,/cbb/players/joey-brunk-1.html,Ohio State,0.2,,.769,28,7.6,6.0,2.4,1.6
Cedric Russell,/cbb/players/cedric-russell-1.html,Ohio State,0.4,.433,.667,30,12.9,5.0,4.2,0.6
Meechie Johnson Jr.,/cbb/players/meechie-johnsonjr-1.html,Ohio State,1.2,.321,.737,26,17.7,2.0,4.4,1.5
Lucas Williamson,/cbb/players/lucas-williamson-1.html,Loyola (IL),3.1,.390,.728,33,32.0,5.0,13.7,5.0
Braden Norris,/cbb/players/braden-norris-1.html,Loyola (IL),3.9,.430,.785,32,32.7,4.0,10.4,2.8
Aher Uguak,/cbb/players/aher-uguak-1.html,Loyola (IL),1.7,.324,.701,32,29.1,6.0,8.9,4.3
Chris Knight,/cbb/players/chris-knight-3.html,Loyola (IL),0.7,.000,.732,33,17.6,4.0,7.6,4.1
Tate Hall,/cbb/players/tate-hall-1.html,Loyola (IL),1.2,.394,.700,33,21.8,4.0,5.6,4.4
Ryan Schwieger,/cbb/players/ryan-schwieger-1.html,Loyola (IL),1.1,.397,.804,33,20.2,4.0,9.2,2.8
Tom Welch,/cbb/players/tom-welch-2.html,Loyola (IL),0.4,.286,.619,30,8.6,3.0,3.5,1.6
Jacob Hutson,/cbb/players/jacob-hutson-1.html,Loyola (IL),0.7,.316,.549,31,12.3,2.0,5.0,2.0
Keith Clemons,/cbb/players/keith-clemons-1.html,Loyola (IL),0.5,.400,.667,28,9.8,3.0,2.4,0.5
Saint Thomas,/cbb/players/saint-thomas-1.html,Loyola (IL),0.4,.310,.875,27,6.3,1.0,1.8,1.0
Collin Gillespie,/cbb/players/collin-gillespie-1.html,Villanova,3.2,.415,.905,38,34.2,5.0,15.6,3.8
Justin Moore,/cbb/players/justin-moore-3.html,Villanova,2.3,.356,.750,36,34.6,3.0,14.8,4.8
Jermaine Samuels,/cbb/players/jermaine-samuels-1.html,Villanova,1.4,.276,.770,38,29.6,5.0,11.1,6.5
Eric Dixon,/cbb/players/eric-dixon-1.html,Villanova,1.3,.486,.821,38,25.2,3.0,9.1,6.4
Brandon Slater,/cbb/players/brandon-slater-1.html,Villanova,1.6,.337,.881,38,30.1,4.0,8.5,3.7
Caleb Daniels,/cbb/players/caleb-daniels-1.html,Villanova,1.0,.373,.853,35,27.6,5.0,10.3,3.8
Chris Arcidiacono,/cbb/players/chris-arciadiacono-1.html,Villanova,0.6,.265,.917,35,9.4,3.0,1.6,1.0
Jordan Longino,/cbb/players/jordan-longino-1.html,Villanova,0.4,.308,1.000,26,8.6,1.0,1.8,0.8
Dylan Painter,/cbb/players/dylan-painter-1.html,Delaware,1.8,.364,.776,30,26.9,5.0,11.7,6.4
Andrew Carr,/cbb/players/andrew-carr-2.html,Delaware,1.3,.405,.657,34,28.4,2.0,10.0,5.1
Jameer Nelson,/cbb/players/jameer-nelsonjr-1.html,Delaware,2.2,.364,.782,35,32.7,3.0,13.6,4.9
Kevin Anderson,/cbb/players/kevin-anderson-6.html,Delaware,3.6,.327,.813,35,34.7,5.0,10.7,3.2
Jyare Davis,/cbb/players/jyare-davis-1.html,Delaware,0.9,.100,.671,31,19.8,1.0,9.7,4.2
Ebby Asamoah,/cbb/players/ebby-asamoah-1.html,Delaware,0.7,.391,.870,33,24.1,3.0,7.0,3.5
Ryan Allen,/cbb/players/ryan-allen-3.html,Delaware,1.8,.333,.690,33,29.8,5.0,11.5,2.1
Gianmarco Arletti,/cbb/players/gianmarco-arletti-1.html,Delaware,0.4,.370,.722,27,9.6,2.0,2.8,1.8
